"","100105.518417","7912.518472","7848.518594","7855.518447","100161.518473","100195.518533","7870.518457","100003.518448","7847.518410","7861.518583","100077.518436","7844.518483","7879.518469","7862.518458","100107.518577","100173.518499","100178.518498","100074.518549","7906.518589","100207.518411","7910.518536","100171.518431","100154.518504","100102.518495","100015.518484","100165.518637","100092.518547","100191.518602","100222.518527","100226.518568","7908.518449","100083.518623","100158.518625","100212.518635","100046.518563","7860.518628","100190.518464","7904.518600","100101.518475","100217.518532","100225.518544","100144.518438","7899.518560","100088.518508","100200.518491","100203.518476","100151.518550","100084.518559","100001.518462","7911.518610","100091.518616","100058.518558","100072.518459","100168.518433","100156.518612","100065.518569","100085.518596","100150.518562","100197.518442","100087.518466","7909.518566","100060.518463","100163.518435","7858.518581","7662.518467","100234.518587","100205.518470","100164.518477","100209.518521","100052.518548","100198.518598","100176.518428","100184.518455","100079.518554","100075.518638","100192.518621","100174.518479","100100.518579","100187.518520","100115.518501"
"549499",0,0,1,1,5,0,0,0,6,0,0,23,2,0,0,0,0,125,1,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"321740",0,0,0,0,0,0,0,0,3,0,0,8,1,1,0,0,4,0,0,37,0,0,8,0,5,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"90431",1,0,0,0,0,1,4,1,0,0,5,2,0,0,0,0,0,0,0,0,0,1,0,1,41,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,16,0,3,2,0,0,0,0,11,47,4,0,22,0,0,0,4,0,0,0,0
"21698",0,0,0,1,10,0,0,1,48,0,0,0,1,28,2,10,12,0,1,0,2,0,4,68,0,0,1,0,0,0,0,54,0,18,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"322235",0,22,64,2,0,0,0,38,0,0,1,0,0,9,120,170,0,127,60,0,2,4,0,0,55,27,2,2,136,0,0,78,0,0,0,222,0,75,0,0,0,179,0,6,0,0,0,0,0,1,1,9,0,423,0,0,81,0,0,0,32,317,0,26,0,0,0,103,0,0,0,0,45,0,0,0,0,0,1,0
"318760",11,17,0,6,8,40,0,11,0,12,0,10,5,1,5,0,7,10,2,1,0,21,4,0,6,2,10,7,4,4,0,5,3,9,0,2,8,23,0,0,0,0,0,12,20,0,14,4,3,11,16,30,17,0,3,5,13,2,0,0,0,0,1,11,2,0,11,26,0,1,0,0,21,0,0,0,1,0,0,0
"307536",1,5,0,7,0,0,1,4,1,0,0,0,5,10,0,1,4,1,2,4,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,1,2,0,2,0,4,1,0,5,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"320055",0,0,0,0,0,0,1,2,0,2,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,8,4,0,0,0,3,0,0,0,2,0,1,0,1,0,1,1,0,1,2,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0
"361480",2,0,9,0,0,0,0,0,16,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,9,0,0,23,0,0,0,4,2,0,0,0,0,0,29,7,0,0,0,0,0,0,0,0,0,25,0,0,0,62,0,32,0,18,47,2,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0
"193348",0,0,0,0,0,2,0,2,1,0,0,2,0,2,0,0,0,0,3,0,1,0,0,0,0,2,0,1,0,0,1,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"593352",6,0,0,0,16,0,5,0,0,3,0,0,0,0,4,19,2,1,0,0,4,0,0,0,0,23,0,5,0,0,0,0,14,0,0,0,0,0,0,85,7,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196712",0,1,3,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,5,1,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
